number,number_suffix,directional,pre_modifier,pre_type,separator,street_name,street_type,subaddress_type,subaddress_id,floor,building,zip,postal_community,state,status,longitude,latitude,x,y
2013,,,,,,MARLEN,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13729607.5021,5223294.645199999,-13729607.5021,5223294.645199999
703,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729099.4705,5229475.0462,-13729099.4705,5229475.0462
1511,,NORTHWEST,,,,PROSPECT,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13729043.730700001,5229462.378899999,-13729043.730700001,5229462.378899999
704,,NORTHWEST,,,,MIDLAND,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13729090.822,5229409.450599998,-13729090.822,5229409.450599998
738,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729277.916000001,5229521.794200003,-13729277.916000001,5229521.794200003
730,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729236.841400001,5229521.953699999,-13729236.841400001,5229521.953699999
722,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729195.8116,5229518.2711,-13729195.8116,5229518.2711
716,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Current,-13729167.9693,5229521.801299997,-13729167.9693,5229521.801299997
712,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729137.822999999,5229527.292999998,-13729137.822999999,5229527.292999998
704,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729101.7939,5229516.963100001,-13729101.7939,5229516.963100001
739,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729277.419,5229472.224799998,-13729277.419,5229472.224799998
731,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729229.036899999,5229471.895300001,-13729229.036899999,5229471.895300001
721,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729199.7861,5229465.270499997,-13729199.7861,5229465.270499997
715,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729170.1371,5229471.0217999965,-13729170.1371,5229471.0217999965
711,,NORTHWEST,,,,AMELIA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13729142.422699999,5229466.4463,-13729142.422699999,5229466.4463
730,,NORTHWEST,,,,MIDLAND,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13729225.3356,5229413.837300003,-13729225.3356,5229413.837300003
722,,NORTHWEST,,,,MIDLAND,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13729195.1695,5229405.896499999,-13729195.1695,5229405.896499999
710,,NORTHWEST,,,,MIDLAND,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13729133.3092,5229411.244400002,-13729133.3092,5229411.244400002
558,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728927.5513,5230575.563299999,-13728927.5513,5230575.563299999
548,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728895.273400001,5230572.389700003,-13728895.273400001,5230572.389700003
538,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728867.3959,5230577.9048999995,-13728867.3959,5230577.9048999995
528,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728842.623599999,5230576.924800001,-13728842.623599999,5230576.924800001
518,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728810.6602,5230579.2157000005,-13728810.6602,5230579.2157000005
2070,,NORTHWEST,,,,HAWTHORNE,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13728783.808699999,5230616.2048999965,-13728783.808699999,5230616.2048999965
508,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728781.4165,5230578.971000001,-13728781.4165,5230578.971000001
121,,NORTHWEST,,,,BLOSSOM,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13728825.9397,5230623.681599997,-13728825.9397,5230623.681599997
2090,,NORTHWEST,,,,HAWTHORNE,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13728788.335099999,5230666.4164,-13728788.335099999,5230666.4164
547,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728898.5941,5230530.176600002,-13728898.5941,5230530.176600002
527,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728849.4313,5230525.939900003,-13728849.4313,5230525.939900003
557,,NORTHWEST,,,,BUDDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13728927.8834,5230500.655699998,-13728927.8834,5230500.655699998
676,,,,,,TROLLVIEW,ROAD,,,,,97527,GRANTS PASS,OR,Other,-13724607.8071,5222821.841300003,-13724607.8071,5222821.841300003
1965,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727364.2694,5223341.200099997,-13727364.2694,5223341.200099997
1161,,,,,,WYLIE,LANE,,,,,97527,GRANTS PASS,OR,Other,-13727514.7708,5223341.2707,-13727514.7708,5223341.2707
